,WordForm,LemmaCase,Frequency,Cues,Outcomes
1,yena,yena_nom_Sg,576,"('#y', 'ye', 'en', 'na', 'a#')","('yena', 'nom', 'Sg')"
2,yene,yena_gen_Sg,229,"('#y', 'ye', 'en', 'ne', 'e#')","('yena', 'gen', 'Sg')"
3,yeni,yena_dat_Sg,55,"('#y', 'ye', 'en', 'ni', 'i#')","('yena', 'dat', 'Sg')"
4,yenu,yena_acc_Sg,167,"('#y', 'ye', 'en', 'nu', 'u#')","('yena', 'acc', 'Sg')"
5,yenom,yena_ins_Sg,39,"('#y', 'ye', 'en', 'no', 'om', 'm#')","('yena', 'ins', 'Sg')"
6,yeni,yena_loc_Sg,16,"('#y', 'ye', 'en', 'ni', 'i#')","('yena', 'loc', 'Sg')"
7,yene,yena_nom_Pl,415,"('#y', 'ye', 'en', 'ne', 'e#')","('yena', 'nom', 'Pl')"
8,yena,yena_gen_Pl,336,"('#y', 'ye', 'en', 'na', 'a#')","('yena', 'gen', 'Pl')"
9,yenama,yena_dat_Pl,33,"('#y', 'ye', 'en', 'na', 'am', 'ma', 'a#')","('yena', 'dat', 'Pl')"
10,yene,yena_acc_Pl,136,"('#y', 'ye', 'en', 'ne', 'e#')","('yena', 'acc', 'Pl')"
11,yenama,yena_ins_Pl,24,"('#y', 'ye', 'en', 'na', 'am', 'ma', 'a#')","('yena', 'ins', 'Pl')"
12,yenama,yena_loc_Pl,4,"('#y', 'ye', 'en', 'na', 'am', 'ma', 'a#')","('yena', 'loc', 'Pl')"
13,yeqa,yeqa_nom_Sg,179,"('#y', 'ye', 'eq', 'qa', 'a#')","('yeqa', 'nom', 'Sg')"
14,yeqe,yeqa_gen_Sg,54,"('#y', 'ye', 'eq', 'qe', 'e#')","('yeqa', 'gen', 'Sg')"
15,yeqi,yeqa_dat_Sg,7,"('#y', 'ye', 'eq', 'qi', 'i#')","('yeqa', 'dat', 'Sg')"
16,yequ,yeqa_acc_Sg,95,"('#y', 'ye', 'eq', 'qu', 'u#')","('yeqa', 'acc', 'Sg')"
17,yeqom,yeqa_ins_Sg,30,"('#y', 'ye', 'eq', 'qo', 'om', 'm#')","('yeqa', 'ins', 'Sg')"
18,yeqi,yeqa_loc_Sg,43,"('#y', 'ye', 'eq', 'qi', 'i#')","('yeqa', 'loc', 'Sg')"
19,yeqe,yeqa_nom_Pl,102,"('#y', 'ye', 'eq', 'qe', 'e#')","('yeqa', 'nom', 'Pl')"
20,yeqa,yeqa_gen_Pl,164,"('#y', 'ye', 'eq', 'qa', 'a#')","('yeqa', 'gen', 'Pl')"
21,yeqama,yeqa_dat_Pl,3,"('#y', 'ye', 'eq', 'qa', 'am', 'ma', 'a#')","('yeqa', 'dat', 'Pl')"
22,yeqe,yeqa_acc_Pl,84,"('#y', 'ye', 'eq', 'qe', 'e#')","('yeqa', 'acc', 'Pl')"
23,yeqama,yeqa_ins_Pl,14,"('#y', 'ye', 'eq', 'qa', 'am', 'ma', 'a#')","('yeqa', 'ins', 'Pl')"
24,yeqama,yeqa_loc_Pl,7,"('#y', 'ye', 'eq', 'qa', 'am', 'ma', 'a#')","('yeqa', 'loc', 'Pl')"
